attack,fix_size,mem_available,mem_cached,mem_free,mem_inactive,memswap_free,memswap_total
1,4708106240,1092939776,415649792,1092939776,267341824,645918720,645918720
1,4708106240,1092939776,415649792,1092939776,267341824,645918720,645918720
1,4708106240,1092943872,415653888,1092943872,267345920,645918720,645918720
1,4708106240,1093316608,415653888,1093316608,267341824,645918720,645918720
1,4708106240,1092931584,415653888,1092931584,267341824,645918720,645918720
1,4708106240,1093079040,415653888,1093079040,267341824,645918720,645918720
1,4708106240,1092923392,415657984,1092923392,267345920,645918720,645918720
1,4708106240,1092947968,415657984,1092947968,267341824,645918720,645918720
1,4708106240,1092947968,415657984,1092947968,267341824,645918720,645918720
1,4708106240,1092947968,415657984,1092947968,267341824,645918720,645918720
1,4708106240,1092927488,415657984,1092927488,267341824,645918720,645918720
1,4708106240,1092931584,415662080,1092931584,267345920,645918720,645918720
1,4708106240,1092931584,415662080,1092931584,267341824,645918720,645918720
1,4708106240,1092931584,415662080,1092931584,267341824,645918720,645918720
1,4708106240,1093201920,415666176,1093201920,267345920,645918720,645918720
1,4708106240,1092923392,415666176,1092923392,267341824,645918720,645918720
1,4708106240,1092968448,415666176,1092968448,267341824,645918720,645918720
1,4708106240,1092931584,415666176,1092931584,267341824,645918720,645918720
1,4708106240,1092935680,415666176,1092935680,267341824,645918720,645918720
1,4708106240,1092939776,415670272,1092939776,267345920,645918720,645918720
1,4708106240,1092939776,415670272,1092939776,267341824,645918720,645918720
1,4708106240,1092939776,415670272,1092939776,267341824,645918720,645918720
1,4708106240,1092939776,415670272,1092939776,267341824,645918720,645918720
1,4708106240,1092833280,415670272,1092833280,267341824,645918720,645918720
1,4708106240,1092943872,415674368,1092943872,267345920,645918720,645918720
1,4708106240,1093210112,415674368,1093210112,267341824,645918720,645918720
1,4708106240,1092919296,415674368,1092919296,267341824,645918720,645918720
1,4708106240,1093091328,415674368,1093091328,267341824,645918720,645918720
1,4708106240,1092820992,415678464,1092820992,267345920,645918720,645918720
1,4708106240,1092980736,415678464,1092980736,267341824,645918720,645918720
1,4708106240,1092857856,415678464,1092857856,267341824,645918720,645918720
1,4708106240,1092861952,415682560,1092861952,267345920,645918720,645918720
1,4708106240,1092861952,415682560,1092861952,267341824,645918720,645918720
1,4708106240,1092861952,415682560,1092861952,267341824,645918720,645918720
1,4708106240,1092861952,415682560,1092861952,267341824,645918720,645918720
1,4708106240,1092866048,415686656,1092866048,267345920,645918720,645918720
1,4708106240,1092939776,415686656,1092939776,267341824,645918720,645918720
1,4708106240,1092833280,415686656,1092833280,267341824,645918720,645918720
1,4708106240,1092845568,415686656,1092845568,267341824,645918720,645918720
1,4708106240,1092743168,415690752,1092743168,267345920,645918720,645918720
